             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           3962212       gpu   TReg14   cscdrm PD       0:00      1 (Dependency)
           3962210       gpu   TReg14   cscdrm PD       0:00      1 (Dependency)
           3901464       gpu     Jon4   cscdrm PD       0:00      1 (Dependency)
           3989154       gpu pvserver     scab PD       0:00      1 (Priority)
           3991203       gpu     bash  sc22jt2  R      36:24      1 gpu026
           3991270       gpu train_ls hzfq0862  R      25:41      1 gpu007
           3991846       gpu     bash  sc22jt2  R      17:15      1 gpu024
           3991387       gpu     bash  sc22jt2  R      25:41      1 gpu020
           3989368       gpu artexber    scsjh  R    3:03:02      1 gpu012
           3989652       gpu     bash  dmzj518  R    2:17:46      1 gpu010
           3987159       gpu porosity   scasad  R    3:55:22      1 gpu014
           3981348       gpu cryocare     bsmz  R    5:42:18      1 gpu014
           3981347       gpu cryocare     bsmz  R    5:46:48      1 gpu027
           3981346       gpu cryocare     bsmz  R    5:47:17      1 gpu007
           3981345       gpu cryocare     bsmz  R    5:48:18      1 gpu015
           3981344       gpu cryocare     bsmz  R    5:48:47      1 gpu026
           3981343       gpu cryocare     bsmz  R    5:55:48      1 gpu017
           3981350       gpu cryocare     bsmz  R    5:37:11      1 gpu019
           3981349       gpu cryocare     bsmz  R    5:41:17      1 gpu008
           3981356       gpu cryocare     bsmz  R       6:36      1 gpu006
           3981357       gpu cryocare     bsmz  R       6:36      1 gpu013
           3981354       gpu cryocare     bsmz  R      14:47      1 gpu007
           3981355       gpu cryocare     bsmz  R      14:47      1 gpu019
           3981353       gpu cryocare     bsmz  R      16:51      1 gpu002
           3981352       gpu cryocare     bsmz  R      23:00      1 gpu004
           3981351       gpu cryocare     bsmz  R      24:02      1 gpu020
           3991623       gpu Mono_A20  py21atw  R       1:29      1 gpu004
         3895559_2       gpu slope_ar od21gjll  R 1-13:38:36      1 gpu008
         3963501_1       gpu pack_arr od21gjll  R 1-05:11:16      1 gpu021
         3895559_5       gpu slope_ar od21gjll  R 1-06:02:14      1 gpu011
         3895559_3       gpu slope_ar od21gjll  R 1-06:12:14      1 gpu022
         3895559_4       gpu slope_ar od21gjll  R 1-06:12:14      1 gpu023
           3989500       gpu  jupyter   od22lc  R    2:41:29      1 gpu025
